time,open,high,low,close,Volume,BBPower
2012-04-24,4.99,5.15,4.98,5.08,1975.83110591,-0.016792147449713468
2012-04-25,5.12,5.14,4.86,5.14,1634.21397664,-0.16582184067118355
2012-04-26,5.1,5.12,4.86,4.98,762.13021797,-0.15641872057529937
2012-04-27,5.03,5.08,4.99,5.04,718.01401093,-0.05835890335025695
2012-04-28,5.07,5.07,4.85,4.91,205.02552687,-0.16430763144307825
2012-04-29,4.92,4.96,4.81,4.91,62.87862749,-0.27654939837978176
2012-04-30,4.92,5.02,4.87,5,490.58077752,-0.1498994843255277
2012-05-01,4.94,5.04,4.86,4.97,831.7462259,-0.12562812942188017
2012-05-02,5.01,5.15,5.01,5.06,495.31714343,0.12089017478124475
2012-05-03,5.06,5.13,5.05,5.1,645.08940157,0.11790586409821024
2012-05-04,5.1,5.15,5.07,5.07,776.0427635,0.14677645494132463
2012-05-05,5.09,5.11,5.04,5.04,415.56904636,0.07580838994970662
2012-05-06,5.06,5.1,5.02,5.08,1234.04605552,0.03355004852831911
2012-05-07,5.05,5.08,4.97,5.05,874.47864459,-0.03838567269001114
2012-05-08,5.06,5.08,4.99,5.02,640.55868732,-0.011473433734295213
2012-05-09,5.02,5.08,5.01,5.02,350.28159466,0.014451342513460474
2012-05-10,5.02,5.04,4.87,4.87,907.11429341,-0.11761313498846171
2012-05-11,4.97,4.97,4.87,4.95,413.82665677,-0.169382687132968
2012-05-12,4.95,4.97,4.91,4.91,219.33389116,-0.10232801754254428
2012-05-13,4.95,4.95,4.94,4.94,395.46296566,-0.07770972932218001
2012-05-14,4.93,4.99,4.88,4.93,718.72911768,-0.08232262513329669
2012-05-15,4.95,5.01,4.9,4.95,600.99596383,-0.034847964399968845
2012-05-16,5,5.04,4.98,5.04,178.0332215,0.05584460194288443
2012-05-17,5.02,5.03,5.01,5.02,611.21283218,0.06500965880818566
2012-05-18,5.03,5.07,5.03,5.07,912.52426975,0.10143685040701644
2012-05-19,5.08,5.08,5.05,5.07,168.0059752,0.1112315860631563
2012-05-20,5.03,5.08,5.03,5.03,26.40212653,0.08534135948270549
2012-05-21,5.04,5.09,5.01,5.08,354.05739561,0.05600687955660355
2012-05-22,5.05,5.07,5,5.03,678.0675855,0.023720182477088514
2012-05-23,5.02,5.1,5.02,5.1,558.15131265,0.051760156408931834
2012-05-24,5.08,5.12,5.04,5.12,904.74009563,0.0672229912076574
2012-05-25,5.09,5.1,5.08,5.08,274.91026252,0.0776197067494202
2012-05-26,5.08,5.09,5.06,5.07,388.706217,0.04224546292807485
2012-05-27,5.08,5.08,5,5.07,913.5296725,-0.032361031775934634
2012-05-28,5.08,5.08,5.07,5.07,180.68383317,0.03369054419205675
2012-05-29,5.07,5.12,4.95,5.11,1341.51430437,-0.0611223906925229
2012-05-30,5.07,5.14,5.07,5.14,748.40168128,0.057609379406408756
2012-05-31,5.14,5.17,5.1,5.17,1102.63991433,0.09080803949120764
2012-06-01,5.17,5.24,5.16,5.22,473.66441064,0.18354974813532188
2012-06-02,5.2,5.21,5.17,5.19,192.43478463,0.1401854984017037
2012-06-03,5.19,5.2,5.19,5.19,14.33475413,0.13015899863003177
